sale_id,customer_id,product_id,product_name,category,price,quantity,sale_date,total_value,age,gender,region,segment,churn,tenure_months,last_purchase_date,feedback_text,sentiment,calculated_total,sentiment_score
S000001,CUST01553,P004,Desk,Furniture,12000,2,2020-01-07,24000,40,Female,West,Small Business,1,37,2023-04-04,"Terrible experience, will not buy again.",Negative,24000,-1
S000002,CUST00161,P010,Projector,Electronics,45000,2,2023-11-10,90000,50,Female,West,Corporate,0,44,2023-03-02,Excellent customer service.,Positive,90000,1
S000003,CUST00627,P010,Projector,Electronics,45000,4,2022-07-04,180000,33,Male,South,Corporate,0,25,2023-11-04,Product quality could be better.,Neutral,180000,0
S000004,CUST01291,P009,Monitor,Electronics,12000,1,2023-10-18,12000,41,Male,West,Consumer,0,56,2023-08-18,"Delivery was late, not happy.",Positive,12000,1
S000005,CUST01456,P004,Desk,Furniture,12000,4,2023-09-13,48000,60,Female,West,Consumer,0,52,2023-05-14,"Delivery was late, not happy.",Positive,48000,1
S000006,CUST00634,P007,Pen Pack,Office Supplies,50,5,2022-10-22,250,51,Female,South,Consumer,0,43,2023-11-14,Product quality could be better.,Neutral,250,0
S000007,CUST01463,P005,Printer,Electronics,15000,1,2022-05-07,15000,57,Male,South,Consumer,0,59,2023-01-18,Excellent customer service.,Positive,15000,1
S000008,CUST00235,P010,Projector,Electronics,45000,3,2020-04-19,135000,35,Male,East,Corporate,1,35,2023-06-28,"Terrible experience, will not buy again.",Negative,135000,-1
S000009,CUST01822,P010,Projector,Electronics,45000,5,2023-01-14,225000,24,Female,South,Small Business,1,57,2023-05-26,Excellent customer service.,Positive,225000,1
S000010,CUST01772,P002,Smartphone,Electronics,25000,2,2022-05-16,50000,53,Male,East,Consumer,0,11,2023-03-05,"Delivery was late, not happy.",Positive,50000,1
S000011,CUST00366,P010,Projector,Electronics,45000,5,2020-06-26,225000,42,Male,West,Corporate,0,10,2023-04-19,Product quality could be better.,Neutral,225000,0
S000012,CUST01896,P004,Desk,Furniture,12000,4,2021-08-21,48000,61,Male,East,Corporate,0,55,2023-11-07,"Worth the price, happy with the purchase.",Positive,48000,1
S000013,CUST00283,P002,Smartphone,Electronics,25000,5,2022-03-12,125000,55,Female,West,Small Business,1,1,2023-12-21,"Great product, very satisfied.",Positive,125000,1
S000014,CUST01895,P006,Notebook,Office Supplies,100,1,2023-11-05,100,54,Female,North,Corporate,1,31,2023-04-28,"Worth the price, happy with the purchase.",Positive,100,1
S000015,CUST00549,P004,Desk,Furniture,12000,1,2020-02-28,12000,28,Male,East,Consumer,0,20,2023-10-15,Excellent customer service.,Positive,12000,1
S000016,CUST01921,P010,Projector,Electronics,45000,5,2023-11-02,225000,51,Male,South,Consumer,0,18,2023-08-26,"Great product, very satisfied.",Positive,225000,1
S000017,CUST01430,P005,Printer,Electronics,15000,4,2022-10-31,60000,45,Female,South,Consumer,0,44,2023-08-06,"Met expectations, nothing special.",Neutral,60000,0
S000018,CUST01020,P006,Notebook,Office Supplies,100,4,2021-03-18,400,49,Male,North,Small Business,0,9,2023-08-23,"Delivery was late, not happy.",Positive,400,1
S000019,CUST00379,P010,Projector,Electronics,45000,5,2020-05-21,225000,33,Female,East,Small Business,0,3,2023-03-20,"Terrible experience, will not buy again.",Negative,225000,-1
S000020,CUST00391,P001,Laptop,Electronics,70000,2,2021-04-14,140000,60,Female,West,Consumer,1,16,2023-04-11,Easy to use and reliable.,Neutral,140000,0
S000021,CUST00485,P004,Desk,Furniture,12000,4,2020-12-23,48000,49,Female,East,Corporate,1,41,2023-08-15,Product quality could be better.,Neutral,48000,0
S000022,CUST00055,P009,Monitor,Electronics,12000,1,2022-10-07,12000,32,Female,South,Small Business,0,14,2023-10-01,Excellent customer service.,Positive,12000,1
S000023,CUST00429,P007,Pen Pack,Office Supplies,50,3,2020-08-28,150,46,Female,East,Small Business,0,44,2023-05-17,Product quality could be better.,Neutral,150,0
S000024,CUST01842,P010,Projector,Electronics,45000,4,2023-06-27,180000,46,Female,North,Corporate,1,30,2023-04-12,"Met expectations, nothing special.",Neutral,180000,0
S000025,CUST01943,P005,Printer,Electronics,15000,4,2022-08-20,60000,48,Female,North,Corporate,0,25,2023-06-22,Easy to use and reliable.,Neutral,60000,0
S000026,CUST01649,P009,Monitor,Electronics,12000,5,2020-12-05,60000,25,Male,East,Corporate,0,41,2023-07-04,"Great product, very satisfied.",Positive,60000,1
S000027,CUST01489,P009,Monitor,Electronics,12000,2,2023-06-09,24000,56,Male,West,Consumer,0,26,2023-10-20,"Great product, very satisfied.",Positive,24000,1
S000028,CUST00350,P006,Notebook,Office Supplies,100,5,2022-04-05,500,52,Male,East,Consumer,0,40,2023-05-20,"Terrible experience, will not buy again.",Negative,500,-1
S000029,CUST01285,P002,Smartphone,Electronics,25000,2,2020-11-21,50000,45,Male,East,Consumer,1,19,2023-07-14,Too expensive for the features offered.,Negative,50000,-1
S000030,CUST00067,P004,Desk,Furniture,12000,1,2022-05-03,12000,44,Male,West,Consumer,0,2,2023-01-02,"Great product, very satisfied.",Positive,12000,1
S000031,CUST00583,P009,Monitor,Electronics,12000,5,2021-01-27,60000,56,Female,West,Consumer,0,31,2023-03-23,Excellent customer service.,Positive,60000,1
S000032,CUST00797,P010,Projector,Electronics,45000,1,2022-05-07,45000,32,Male,West,Small Business,0,2,2023-03-27,Too expensive for the features offered.,Negative,45000,-1
S000033,CUST00901,P003,Office Chair,Furniture,8000,2,2021-12-05,16000,19,Male,North,Corporate,0,49,2023-05-06,"Met expectations, nothing special.",Neutral,16000,0
S000034,CUST00251,P001,Laptop,Electronics,70000,5,2022-11-12,350000,21,Female,West,Corporate,0,20,2023-02-15,"Great product, very satisfied.",Positive,350000,1
S000035,CUST01642,P008,Headphones,Electronics,3000,1,2020-11-04,3000,22,Male,East,Corporate,1,1,2023-06-06,Excellent customer service.,Positive,3000,1
S000036,CUST00048,P010,Projector,Electronics,45000,5,2020-05-31,225000,45,Female,South,Corporate,0,36,2023-06-03,"Met expectations, nothing special.",Neutral,225000,0
S000037,CUST00004,P001,Laptop,Electronics,70000,1,2022-08-28,70000,29,Male,East,Consumer,0,3,2023-11-28,Highly recommend to others.,Positive,70000,1
S000038,CUST00972,P009,Monitor,Electronics,12000,1,2022-10-26,12000,63,Male,West,Consumer,0,33,2023-11-30,Easy to use and reliable.,Neutral,12000,0
S000039,CUST01779,P009,Monitor,Electronics,12000,1,2020-05-30,12000,30,Male,East,Consumer,1,1,2023-07-19,"Great product, very satisfied.",Positive,12000,1
